morphemes,count
ти,13520
ий,11278
а,7023
н,5697
ува,3447
и,3167
я,2967
о,2558
по,2470
за,2102
к,2086
ен,2018
ов,1420
ви,1411
на,1337
роз,1248
юва,1234
пере,1189
при,1126
і,1055
з,1026
в,977
ся,948
не,936
у,922
с,911
від,880
до,835
про,826
під,816
об,816
ість,721
ну,716
нн,666
л,624
ва,607
ова,588
ин,579
ник,571
ськ,511
ок,430
ч,395
енн,382
лив,359
ик,306
т,293
льн,287
ист,276
ець,270
без,231
ниц,230
от,226
ій,210
ар,209
е,206
ян,201
над,197
ів,194
ат,188
ш,178
оч,177
еньк,175
уват,166
ич,150
ств,144
із,139
ев,137
іш,130
жи,129
іст,121
пис,118
су,112
клад,110
да,109
тяг,107
ор,101
тт,99
би,98
мін,98
напів,98
різ,97
яч,97
ц,97
ли,96
важ,95
вод,92
гор,90
ступ,89
пі,89
пал,88
ан,87
иц,86
зна,85
куп,84
буд,84
вар,83
ер,82
яр,81
яв,80
тв,79
ичн,79
уч,79
мов,78
мір,78
аст,77
из,77
ав,77
ши,76
коп,76
ив,76
ищ,75
роб,75
перед,75
льник,74
літ,73
пів,72
нос,72
каз,71
год,70
йм,70
пад,70
кри,69
ми,69
ї,69
еч,69
руб,68
пар,68
кол,67
ічн,67
ун,66
точ,66
сил,65
одн,65
сі,65
як,64
світ,63
прав,63
кис,63
смі,63
діл,63
хід,63
сип,63
чин,63
гад,62
в’яз,62
сам,62
інн,61
вал,61
ізм,60
оньк,60
люб,60
бр,60
маз,59
сел,59
гляд,59
дв,58
бу,57
ят,57
вір,57
рив,57
твор,57
зне,56
пил,56
повн,56
єн,55
пли,55
став,55
есеньк,55
біл,55
атор,55
гриз,54
рівн,54
пуст,54
зі,54
сад,54
й,53
клас,52
суш,52
мерз,52
леж,52
грі,52
па,52
біг,51
изм,51
їд,51
бир,51
дум,51
аці,51
гни,50
ціл,50
кид,50
добр,49
говор,49
ом,49
лам,49
ряд,49
міш,49
моч,48
пас,48
ход,48
рос,48
цін,48
держ,48
стар,47
лад,47
ак,47
ач,47
альн,46
мир,46
подіб,46
хил,45
тепл,45
вис,45
іт,45
їзд,45
нов,45
пол,45
робл,45
чорн,45
ант,45
нй,44
голос,44
дяг,44
рост,44
ставл,44
мил,44
ков,44
вол,44
садж,44
пуск,44
ал,44
знач,44
плав,44
зл,43
вантаж,43
гол,43
сід,43
плат,43
ста,43
ки,43
мал,43
кат,43
гр,42
рід,42
мот,42
ивн,42
пит,42
руч,42
аж,41
ниць,41
ду,41
стріл,40
юч,40
ясн,40
рад,40
квіт,40
чу,39
им,39
обі,39
люд,39
топт,39
верх,38
повз,38
їждж,38
част,38
ку,38
лом,38
воз,38
ді,38
чищ,38
гон,38
трим,38
ацій,38
слід,38
душ,38
вид,38
холод,37
кресл,37
б,37
сол,37
чит,37
шук,37
тих,37
обез,37
ри,37
лег,37
крут,37
ісіньк,37
гас,37
круч,37
ур,37
чист,36
ман,36
нич,36
ґрунт,36
коч,36
мор,36
кос,36
жар,36
рв,36
аль,36
чик,35
правл,35
віль,35
прод,35
кач,35
міт,35
тверд,35
стиг,35
ліч,35
мок,35
жов,35
дріб,35
кут,34
рах,34
ліс,34
нес,34
верт,34
сік,34
дар,34
кон,34
пре,34
пин,34
сл,34
гн,34
луч,34
кле,34
вч,34
бій,34
та,34
вез,33
ган,33
жал,33
м’як,33
служ,33
тон,33
ін,33
віш,33
круг,33
мер,33
мовл,33
ляг,32
гин,32
молоч,32
нім,32
лік,32
тиск,32
дал,32
крив,32
тк,32
яст,31
род,31
молод,31
мур,31
кот,31
різн,31
тель,31
хвал,31
плут,31
крас,31
мет,31
ліз,31
тяж,31
попо,30
суд,30
стел,30
проти,30
ир,30
горт,30
багат,30
низ,30
віді,30
сох,30
прост,29
клик,29
кур,29
недо,29
кус,29
довб,29
пра,29
льниц,29
бач,29
щип,29
во,29
пер,29
жир,29
смаж,29
тир,29
ві,29
іч,28
бор,28
верш,28
час,28
лаз,28
річ,28
вин,28
х,28
бід,27
тем,27
кінч,27
дир,27
земл,27
меж,27
розум,27
дур,27
єдн,27
об’,27
йня,27
бір,27
пух,27
смал,27
дих,27
нош,27
зу,27
он,27
фік,27
десят,27
дій,27
тр,26
пек,26
лист,26
форм,26
скак,26
муч,26
руш,26
кріпл,26
мереж,26
хмар,26
шир,26
риб,26
чіпл,26
тул,26
молот,26
див,26
вед,26
клеп,26
тес,26
плач,25
топл,25
спі,25
сто,25
г,25
мащ,25
кош,25
довг,25
хліб,25
іс,25
чес,25
крад,25
туп,25
ломл,25
центр,25
кров,25
хов,25
лиз,25
кип,24
міст,24
бур,24
віз,24
терп,24
спів,24
борон,24
труд,24
уз,24
піді,24
єць,24
кор,24
чар,24
пор,24
слух,24
в’я,24
мороз,24
пи,24
смокт,24
роз’,24
сид,23
городж,23
сап,23
прі,23
корч,23
