morphemes,count
ий,33397
ти,31179
а,21855
н,20294
о,15379
я,13869
ува,11530
к,10030
и,9125
по,8401
нн,6459
за,6120
ов,5350
ість,4588
ен,4179
ви,3884
на,3801
роз,3800
юва,3625
ся,3338
пере,3255
і,3177
з,3127
в,3025
при,2927
про,2797
не,2751
від,2708
ик,2690
у,2689
с,2608
ськ,2551
під,2349
об,2261
ин,2105
ну,2089
л,1960
енн,1916
ч,1847
ова,1746
до,1659
ва,1649
льн,1555
т,1537
ок,1520
ник,1178
е,1148
ат,1142
ець,1113
лив,1039
иц,1036
от,1006
ств,936
ія,908
ист,891
ій,863
ів,854
без,828
iя,806
ич,776
оч,727
ар,656
іст,645
ор,633
ниц,631
лог,601
ічн,571
о-,561
уват,542
ян,526
ичн,523
сам,503
ш,495
метр,494
вод,489
ев,469
граф,448
a,447
по-,445
із,435
ц,429
над,427
ізм,422
ер,412
ан,406
еньк,405
юч,391
жи,390
да,375
іт,373
ац,358
клад,346
o,329
ом,323
літ,314
ація,312
ит,311
ому,307
мал,304
дв,304
би,304
тв,303
мір,299
ищ,298
світ,297
су,289
тр,288
ін,286
різ,286
зна,281
уч,281
пів,275
ив,270
недо,270
нос,268
буд,266
из,266
изм,263
подіб,262
яр,258
он,256
важ,254
ур,250
тяг,249
тель,249
яв,249
вар,249
інн,244
яч,244
ун,243
біл,242
пар,240
роб,239
пис,239
ли,238
люб,236
ач,235
одн,234
напів,229
твор,229
ав,226
гор,224
пал,224
еч,222
фото,221
як,220
вид,218
мін,217
перед,217
ят,213
іш,213
прав,213
електр,210
чик,209
им,209
вір,203
ік,202
ступ,200
тт,200
багат,200
бу,199
пол,199
ивн,198
аст,197
оньк,196
сип,195
ряд,192
в'яз,192
стар,190
вал,189
пил,189
альн,189
оз,186
де,185
чин,184
пад,183
куп,182
ген,181
газ,181
пі,179
кол,179
мов,177
ак,177
сил,174
ши,174
гляд,172
ход,172
ал,171
ман,170
коп,169
ки,168
бир,168
скоп,166
руб,166
гідр,165
хід,164
фік,164
рівн,164
тепл,164
терм,163
мир,161
авто,161
рад,161
ліс,159
син,158
б,158
сі,158
ир,156
кид,156
нич,154
сад,153
кон,153
c,152
діл,151
пуст,151
гад,151
точ,151
теле,150
іч,150
ант,149
пас,149
зне,149
род,148
кри,146
повн,145
їд,144
воз,143
обез,143
тон,142
чорн,142
гон,141
вис,141
зл,140
кис,139
п'ят,139
плав,138
добр,138
полі,137
каз,137
міш,137
част,136
ниць,136
держ,135
нов,134
зі,134
мер,134
сол,134
руч,133
фон,133
люд,133
пepe,133
льник,133
маз,132
йм,132
ми,132
грі,131
біг,131
аж,130
сел,130
ем,129
i,129
кат,127
пли,127
вол,127
стан,127
робл,125
смі,125
душ,125
аль,125
чу,124
кур,124
бор,124
радіо,124
бур,124
рос,123
вантаж,123
сід,123
дум,122
суш,122
вел,121
ух,121
знач,121
мил,121
різн,120
лег,120
нь,120
тем,119
ни,119
ет,118
ві,118
благ,118
став,117
анти,117
y,116
ста,116
пре,116
щин,116
иць,116
нім,115
мет,115
лк,114
дур,114
голов,114
хов,113
стій,113
крут,112
па,111
тк,111
мікро,111
ціл,111
дріб,110
рив,110
верт,110
рід,110
мот,110
верх,110
чотир,109
мерз,109
леж,108
жов,108
бр,108
пан,108
слід,108
проти,107
прост,107
слух,107
сот,107
оїд,107
бій,107
пуск,105
ком,105
моч,104
лік,104
риб,104
лад,103
луч,103
ень,103
тиск,103
ду,103
форм,103
мок,103
попо,102
біо,102
трим,101
руш,101
тик,101
шир,101
десят,101
техн,100
х,100
кор,100
дар,99
річ,99
міт,99
лам,99
гриз,99
центр,98
тяж,98
між,98
гол,98
садж,98
пух,97
пи,97
говор,97
вугл,97
слов,97
крас,97
чит,97
клас,97
стріл,96
цін,96
льниц,95
пласт,95
paдio,95
кут,95
ліз,94
стат,94
спів,94
вітр,94
грам,94
голос,94
ць,93
кач,93
бід,93
ков,93
червон,92
ставл,92
плат,92
зор,92
торг,92
гни,92
гр,92
чист,92
жар,91
том,91
туп,90
правл,90
мор,90
пит,89
раз,89
ісіньк,89
хром,89
кос,89
шест,89
гас,89
бол,89
нав,88
бір,88
лист,88
серед,87
жир,87
служ,87
кров,87
мур,87
тир,87
зуб,87
ону,87
рах,87
віль,87
гір,87
тер,86
віш,86
клеп,86
суд,86
мовл,86
дяг,86
рост,85
політ,85
скл,85
кіно,85
тип,85
план,85
ран,85
ох,84
тул,84
рис,84
рядж,84
гостр,84
вч,84
тих,84
бач,83
пo,83
овит,83
дал,83
клик,83
метал,82
молод,82
их,82
дир,82
низ,82
вин,82
жал,82
круг,82
хил,81
пер,81
час,81
серд,81
ір,81
діль,81
шук,81
культ,80
коч,80
їзд,80
й,80
крат,80
яст,80
моно,80
шар,79
ри,79
квіт,79
пор,79
плод,79
пин,79
круч,79
обі,79
віс,78
стиг,78
холод,78
морф,78
слаб,78
крил,78
иськ,78
ст,78
вс,77
чищ,77
турб,77
г,77
топт,77
спі,77
очк,76
п,76
смокт,76
дих,76
есеньк,76
яц,76
чуд,75
смол,75
гран,75
меж,74
лиц,74
стел,74
ний,74
верш,74
розум,74
yвa,74
овин,74
хліб,73
страх,73
топ,73
тур,73
хлор,73
рук,73
лом,73
що,73
ез,73
фор,73
валь,73
дій,73
зелен,72
розі,72
лов,72
крив,72
їждж,72
довг,72
струг,72
вій,72
ліч,71
хвал,71
op,71
плут,71
верст,70
губ,70
уш,70
дер,70
атор,70
міщ,70
чес,70
мат,70
ум,69
земл,69
стриб,69
р,69
тверд,69
хім,69
грунт,69
родж,69
уюч,69
щик,68
кот,68
хрон,68
пік,68
рв,68
псих,68
терп,68
ячк,67
поза,67
ді,67
пряд,67
год,67
топл,67
сорт,67
ні,67
дом,67
лиз,66
цит,66
нес,66
біль,66
грим,66
крад,65
ре,65
повз,65
лаз,65
горт,65
пат,65
брат,65
кресл,65
шерст,65
кріп,65
золот,65
чар,65
пра,65
смик,64
тис,64
aт,64
ган,64
цвіт,64
піді,64
іс,64
труд,64
труб,63
див,63
штовх,63
ляг,63
iн,63
торф,63
гул,63
а-,63
фарб,63
сух,63
вед,63
свід,62
cy,62
мереж,62
плак,62
ай,62
сид,62
гео,62
молоч,62
кош,62
скак,61
ясн,61
кус,61
краш,61
віз,61
ент,60
зо,60
пут,60
та,60
масл,60
сік,60
нео,60
кам,60
город,60
в'я,60
ден,59
ид,59
м'я,59
зерн,59
рус,59
гин,59
сем,59
звук,59
зим,59
годов,59
міст,59
м'як,59
ниж,59
довб,59
гін,59
філ,59
овн,58
скуб,58
сук,58
свист,58
правд,58
бетон,58
свят,58
кип,58
тряс,58
клин,58
щип,58
мах,58
юк,58
зем,58
мож,58
дуб,58
сох,57
туж,57
прі,57
міс,57
мен,57
кріпл,57
гам,57
машин,57
хват,57
зич,57
зир,57
трав,57
тин,57
дим,56
готов,56
тріп,56
хмар,56
товст,56
солод,56
корот,56
з',56
инн,56
гарт,56
борон,56
ус,56
довж,56
друк,56
плід,56
ку,55
нафт,55
пак,55
ль,55
ніж,55
пих,55
лип,55
плач,55
глин,55
господ,55
тек,55
зу,55
зв,55
дол,55
сап,55
тес,55
друж,55
льон,55
нош,55
бог,55
м,55
наці,55
ність,55
надцят,54
гар,54
віч,54
груб,54
міч,54
віді,54
свердл,54
чуж,54
загаль,54
черп,53
чіпл,53
ацій,53
вер,53
сфер,53
стил,53
коз,53
терап,53
ломл,53
греб,53
механ,53
дряп,53
здоров,53
прац,53
звір,52
голуб,52
ост,52
тан,52
стук,52
маг,52
сум,52
мог,52
цукр,52
палео,52
лед,52
фіз,52
нути,52
сяг,52
мик,52
гн,52
смаж,51
луп,51
мол,51
бож,51
ечк,51
свіж,51
сир,51
млі,51
тіш,51
пуш,51
вік,51
ваг,51
ультра,51
слав,51
кінч,51
сан,51
таск,51
дуж,51
пліт,51
колуп,51
прям,51
сов,50
вл,50
жер,50
трив,50
ял,50
шпар,50
ліп,50
івн,50
пір,50
госп,50
блиск,50
тік,50
нин,50
кард,50
хопл,50
корен,50
молот,50
тям,50
онал,50
об',50
хлюп,50
ес,49
свіч,49
мудр,49
прода,49
ковз,49
скор,49
товк,49
граб,49
влад,49
руд,49
сл,49
муч,49
авіа,49
тл,48
ловл,48
стриг,48
град,48
aц,48
во,48
зив,48
pe,48
мисл,48
туш,48
цикл,48
восьм,48
лис,48
ек,47
є,47
швид,47
ол,47
бавл,47
глуш,47
аць,47
сос,47
трат,47
марн,47
дія,47
клон,47
ключ,47
перш,47
хитр,47
річч,47
кар,47
роз',47
прес,47
їст,47
маль,47
лашт,47
ізація,46
рух,46
снов,46
шум,46
силь,46
дух,46
перв,46
круп,46
ня,46
парт,46
дез,46
стоя,46
проб,46
пт,46
троп,46
мк,46
мощ,46
баб,46
ворот,46
плиг,46
звуч,46
мас,46
лож,45
народ,45
смал,45
аеро,45
вез,45
давл,45
мул,45
ущ,45
стерео,45
мото,45
строч,45
мед,45
ip,45
цар,45
ярн,45
городж,45
крап,45
сив,45
член,45
глиб,45
переч,45
бух,44
горб,44
мин,44
густ,44
колон,44
чіс,44
повітр,44
ліпл,44
ей,44
сір,44
ма,44
пам'ят,44
пх,44
ча,44
ток,44
лат,44
кін,44
енерг,44
промисл,44
груз,44
береж,44
сторон,44
шан,44
лагодж,44
тіл,43
січ,43
мотор,43
ана,43
изн,43
стач,43
куш,43
числ,43
трух,43
др,43
реч,43
стьоб,43
пир,43
ходж,43
хрип,43
пряж,43
порожн,43
так,43
сон,43
грав,43
криш,43
томл,42
муж,42
ног,42
новл,42
дб,42
множ,42
ім,42
чат,42
натур,42
гріб,42
овл,42
хиль,42
віт,42
діа,42
брак,42
низь,42
срібл,42
сп,42
волос,42
ул,42
явл,42
iт,42
дерев,42
паль,42
брех,42
вищ,41
мета,41
весел,41
монт,41
зоо,41
рощ,41
фільтр,41
біч,41
карб,41
дис,41
дів,41
iз,41
груд,41
дн,41
иня,41
тьм,41
арк,41
почи,41
невр,41
глад,41
магніт,41
кох,41
четв,41
регул,41
мороз,41
ляп,41
хап,41
хвор,40
завод,40
ю,40
авл,40
гук,40
рят,40
труш,40
готовл,40
пряг,40
од,40
віст,40
хит,40
трус,40
лів,40
сит,40
бовт,40
изація,40
cip,40
рож,40
ворож,40
арн,40
зав,40
ід,40
біж,40
плет,40
закон,40
хрест,40
слуг,39
міц,39
власн,39
зол,39
круж,39
шкір,39
такс,39
пек,39
iм,39
печат,39
дзвон,39
ук,39
вич,39
верг,39
годин,39
плавл,39
гус,39
плющ,39
дит,39
він,39
жен,39
бри,39
мовч,39
феро,39
зір,39
лич,39
плеск,39
енк,39
рік,39
горд,39
підо,39
сал,38
шкряб,38
пізн,38
карт,38
пара,38
дзьоб,38
рог,38
внутрі,38
чал,38
мел,38
балак,38
черев,38
дев'ят,38
шлак,38
бав,38
юг,38
цемент,38
